0, 0, 0.000078
0, 0, 0.895684
1, 0, 415.733227
2, 0, 1544.264446
3, 0, 3360.621414
4, 0, 5579.452627
0, 1, 0.000375
0, 1, 1.409455
5, 1, 176.097341
6, 1, 616.994186
7, 1, 885.857183
8, 1, 1503.614635
9, 1, 2132.202176
10, 1, 7554.850545
0, 2, 0.001058
0, 2, 1.147651
11, 2, 236.069599
12, 2, 628.463403
0, 3, 0.000600
0, 3, 1.391793
13, 3, 24.221353
14, 3, 911.097885
15, 3, 2168.143498
16, 3, 7394.249802
0, 4, 0.000069
0, 4, 1.041173
17, 4, 441.379970
18, 4, 600.948878
19, 4, 1127.862969
0, 5, 0.000084
0, 5, 1.520428
20, 5, 21.566428
21, 5, 45.283878
22, 5, 1129.713294
0, 6, 0.000117
0, 6, 1.237048
23, 6, 496.371195
24, 6, 971.257387
25, 6, 1864.792004
26, 6, 2736.488355
0, 7, 0.000144
0, 7, 1.762937
27, 7, 41.967772
28, 7, 86.947201
29, 7, 214.556912
0, 7, 224.507262
30, 7, 1296.213718
31, 7, 1555.330338
32, 7, 4048.224943
