0, 0, 0.000508
0, 0, 1.310398
0, 1, 0.000171
0, 1, 1.004474
1, 1, 23.687127
2, 1, 2466.798053
3, 1, 3708.373893
0, 2, 0.000184
0, 2, 1.178198
4, 2, 71.335926
5, 2, 474.143446
0, 2, 573.372395
6, 2, 7731.475523
0, 3, 0.000164
0, 3, 1.011040
7, 3, 43.286435
8, 3, 175.179113
0, 3, 218.199164
9, 3, 3854.952034
0, 4, 0.000156
0, 4, 1.274458
10, 4, 197.622500
11, 4, 2042.911750
0, 4, 2340.304653
0, 5, 0.000161
0, 5, 0.958468
0, 6, 0.000159
0, 6, 0.588187
12, 6, 13.040462
13, 6, 25.070288
0, 6, 26.721288
14, 6, 276.583789
15, 6, 2509.704480
0, 7, 0.000200
0, 7, 0.954640
